,Unnamed: 0,date,title,url
0,0,2022.01.31.,'제2의 자두 사건'...고양이 살해범 잡아주세요,https://www.ytn.co.kr/_ln/0115_202201312029383965
1,1,2022.01.31.,"""고양이 꼬리잡고 바닥에 내리쳐 살해""…경찰 수사 착수",http://www.newsis.com/view/?id=NISX20220131_0001743534&cID=10812&pID=10800
2,2,2022.01.31.,"이재명, 고양이 ‘두부’ 잔혹 살해에 “사람 향할 수도”",http://news.kmib.co.kr/article/view.asp?arcid=0016723451&code=61111111&cp=nv
3,3,2022.01.31.,[사건의 재구성]범행 감추려고 피해자 언니까지 살해한 인면수심 30대,https://www.news1.kr/articles/?4570950
4,4,2022.01.30.,"[사건의 재구성] 16살 연하 남친 살해한 돌싱녀…""내가 창피해?""",https://www.news1.kr/articles/?4570040
5,5,2022.01.30.,고양이 ‘두부’ 잔혹 살해 범죄에 이재명 “경찰 적극 수사해야”,https://www.hani.co.kr/arti/politics/politics_general/1029321.html
6,6,2022.01.26.,16세 연하 남친 흉기 살해 30대 여성 징역 22년,https://www.seoul.co.kr/news/newsView.php?id=20220126500100&wlog_tag3=naver
7,7,2022.01.29.,"음식물통에 신생아 버려 살해하려한 친모, 징역 12년 불복 항소",http://www.newsis.com/view/?id=NISX20220129_0001742443&cID=10806&pID=10800
8,8,2022.01.26.,"검찰, '장검으로 아내 살해' 남편에 무기징역 구형",http://yna.kr/AKR20220126136800004?did=1195m
9,9,2022.01.26.,결혼 1달 만에 아내 폭행·살해한 50대에 징역 30년 구형,http://www.newsis.com/view/?id=NISX20220126_0001738203&cID=10807&pID=10800
10,10,2022.01.26.,"“내 번호 왜 지워”… 남친 살해한 여성, 무기징역→징역 22년 감형",https://biz.chosun.com/topics/law_firm/2022/01/26/CICTF4BSGBGEVFNH2M2SFIA7ZI/?utm_source=naver&utm_medium=original&utm_campaign=biz
11,11,2022.01.30.,창원서 고양이 꼬리 잡고 살해…이재명 “경찰의 적극 수사 요청”,http://www.segye.com/content/html/2022/01/30/20220130506469.html?OutUrl=naver
12,12,2022.01.28.,수억원 횡령 들통 나자 점주 살해 직원…징역 13년,http://www.fnnews.com/news/202201281044280038
13,13,2022.01.28.,"70대 마구 때린 190㎝ 20대男…""형 가볍다"" 2심서 징역 늘어",http://www.newsis.com/view/?id=NISX20220128_0001741876&cID=10201&pID=10200
14,14,2022.01.30.,"이재명, 고양이 학대 살해에 ""범죄전담팀 구성해 엄단""",http://www.newsis.com/view/?id=NISX20220130_0001743065&cID=10301&pID=10300
15,15,2022.01.25.,당진 자매 살해범 항소심도 무기징역…유족 “사형 선고했어야”,https://news.kbs.co.kr/news/view.do?ncd=5381164&ref=A
16,16,2022.01.25.,퇴거 통보에 이웃 흉기 분풀이…50대 살해범 징역 15년 선고,http://www.newsis.com/view/?id=NISX20220125_0001737143&cID=10201&pID=10200
17,17,2022.01.31.,"계약금 문제로 흉기 휘두른 50대, 항소심서도 징역 1년6개월",http://yna.kr/AKR20220128111500055?did=1195m
18,18,2022.01.30.,"DR콩고 군사법원, 유엔 전문가 납치·살해하고 참수한 51명에 “사형”",https://www.seoul.co.kr/news/newsView.php?id=20220130500059&wlog_tag3=naver
19,19,2022.01.26.,“집착 성향 지속”…‘장검’ 부인 살해에 ‘무기징역’ 구형,https://www.seoul.co.kr/news/newsView.php?id=20220126500144&wlog_tag3=naver
20,20,2022.01.24.,"무릎까지 꿇더니…'세모녀 살해' 김태현, 무기징역에 대법 상고",https://www.joongang.co.kr/article/25043100
21,21,2022.01.25.,조카 물고문 살인 이모 부부 2심도 징역 30년·12년(종합),http://yna.kr/AKR20220125068651061?did=1195m
22,22,2022.01.29.,"자해하고 6살 아들 살해 시도한 40대 친모, 집행유예",http://www.newsis.com/view/?id=NISX20220128_0001742149&cID=10807&pID=10800
23,23,2022.01.25.,'자매 살해' 2심도 무기징역…사형 외쳤던 아버지 오열,https://news.jtbc.joins.com/article/article.aspx?news_id=NB12044331
24,24,2022.01.19.,"'세모녀 살해' 2심…무기징역 선고하며 ""가석방 안돼""(종합)",http://www.newsis.com/view/?id=NISX20220119_0001730171&cID=10201&pID=10200
25,25,2022.01.21.,"음식물 쓰레기통에 신생아 버려 살해하려한 친모, 징역 12년",http://www.newsis.com/view/?id=NISX20220121_0001732346&cID=10806&pID=10800
26,26,2022.01.25.,"'당진 자매 살해' 30대, 항소심도 무기징역 선고",http://news.tf.co.kr/read/national/1914829.htm
27,27,2022.01.26.,당진 자매 살해범 항소심도 무기징역 선고,https://news.kbs.co.kr/news/view.do?ncd=5381849&ref=A
28,28,2022.01.29.,"[단독] ""소파에 소변보며 술주정""…벽돌로 남편 살해한 부인, 2심도 징역 4년",http://news.tf.co.kr/read/national/1915813.htm
29,29,2022.01.19.,"갓 태어난 영아 살해 방조한 30대 남성 2명, 각 징역 3년",http://www.newsis.com/view/?id=NISX20220119_0001730444&cID=10807&pID=10800
30,30,2022.01.25.,"당진 자매 살해범 항소심도 무기징역…유족 ""어처구니가 없다""",http://news.mk.co.kr/newsRead.php?no=75711&year=2022
31,31,2022.01.26.,'세 모녀 살해' 혐의 김태현 무기징역에 검찰도 상고… 대법원 최종 판단,http://moneys.mt.co.kr/news/mwView.php?no=2022012618098013642
32,32,2022.01.27.,"'3세 딸 방치·사망' 30대 미혼모, 2심서 징역 15년...""지능지수 낮아""",http://www.newsis.com/view/?id=NISX20220127_0001739441&cID=10201&pID=10200
33,33,2022.01.24.,"수익금 안 주자 동업자 살해 시도…1명 징역4년, 2명은 집유",https://www.news1.kr/articles/?4563390
34,34,2022.01.20.,친할머니 살해한 10대 징역형…범행 방조한 동생은 집유,https://www.nocutnews.co.kr/news/5693406
35,35,2022.01.26.,장인 눈앞서 도검으로 아내 살해한 40대男…무기징역 구형,http://www.edaily.co.kr/news/newspath.asp?newsid=03712966632201656
36,36,2022.01.29.,"술 마시다 흉기 휘두른 70대 징역 6년…""심신미약 아냐""",http://yna.kr/AKR20220128114800051?did=1195m
37,37,2022.01.25.,'사형 구형' 당진 자매 살해범 항소심 오늘 선고,http://yna.kr/AKR20220124153000063?did=1195m
38,38,2022.01.27.,6년간 스포츠용품 빼돌리다 발각돼 사장 살해한 40대 징역 13년,https://www.news1.kr/articles/?4568965
39,39,2022.01.30.,"""反그리스도 머리 자르겠다"" 미군 출신, 바이든 살해 위협",https://www.joongang.co.kr/article/25044691
40,40,2022.01.20.,할머니 살해 10대 징역 장기 12년·단기 7년,https://imnews.imbc.com/news/2022/society/article/6334596_35673.html
41,41,2022.01.30.,신생아 음식물 쓰레기통에 유기해 살해하려한 친모 징역 12년…불복 항소,https://www.inews365.com/news/article.html?no=700964
